"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"#shotsupdatenextweek",0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,0
"jewish",0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,13,0,0,0,0,0,0,0,0,0,0
"netanyahu",0,0,0,0,0,0,0,0,0,0,0,0,0,23,72,17,0,0,0,0,0,0,0,0,0,0
"auschwitz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,0,0,0,0,0,0,0,0,0,0
"gta v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,78,0,0,0,0,0,0,0,0,0
"#مليونيه_خلع_الحجاب",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,0,0,0,0,0,0,0,0,0,0
"never again",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,0,0,0,0,0,0,0,0,0
"#thefamchallenge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,55,0,0,0,0,0,0,0,0,0,0
"#يوم_الاسير_الفلسطيني",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,49,0,0,0,0,0,0,0,0,0
"star wars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,57,0,0,0,0,0,0,0,0,0
"#ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,44,0,0,0,0,0,0,0,0,0
"shabbat shalom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,77,0,0,0,0,0,0,6,0,0
"#askthevamps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,0,0,0,0,0,0,0,0,0
"#הסוד_הראשון",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0
"iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0
"#תסמונת_אנ_טורט",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,85,0,0,0,0,0,0,0,0,0
"#proudoflouis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,37,0,0,0,0,0,0,0,0
"#savetheundies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,86,39,0,0,0,0,0,0,0
"#مهرجان_جرش",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,9,0,0,0,0,0,0,0
"tehran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0
"the crowds award",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,27,0,0
"fa cup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,62,0,0,0,0,0,0,0
"arab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,19,0,0,0,0,0,0
"america",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,0,0,0,0,0,0,0
"ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7,0,0,0,0,0,0,0
"#libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,48,0,0,0,0,0,0,0
"#underwarrior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0
"#goodlucklouis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,56,0,0,0,0,0,0,0
"torah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,82,8,0,0,0,0,0
"independence day",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7,38,60,42,0,0,0
"#shebadtonumberone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,0,0,0,0,0,0
"herzliya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0,0
"#מכביפנר3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,58,0,0,0,0,0,0
"#yallamaccabi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0
"#اكتب_كلمه_من_لهجتك_وترجمها",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,0,0,0,0,0,0
