"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"harvey",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0
"roy hibbert",0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
"pacers",0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0
"john wall",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,23,0,0,0,0,0,0,0,0,0
"jalen rose",0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0
"#skollwf",0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,12,0,0,0,0,0,0,0,0,0,0
"#fightfor15",0,0,0,0,0,0,0,0,0,0,0,0,0,43,18,0,0,0,0,0,0,0,0,0,0,0
"aaron hernandez",0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0
"#taxday",0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,0
"porto",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,18,0,0,0,0,0,0
"bayern",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0
"#usavmex",0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0
"#blackhawks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0
"#nbaplayoffs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,29,0,0,0,0,0,0,0,0
"good thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0
"scott brooks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,25,0,0,0,0,0
"#jacobontourwithr5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,23,0,0,0,0,0,0,0,0
"#bostonmarathon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,33,11,0,0,0,0,0,0
"#stormtrooper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0
"star wars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,45,0,0,0,0,0,0,0,0,0
"#reasonwhysomeonewouldkillme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0
"kris bryant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,16,0,0,0,0,0,0,0,0,0
"#addblartimproveamovie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0
"#dbacks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0
"finally friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0
"#fridayforgood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,18,0,0,0,0,0,0,0,0,0
"#stressreliefin4words",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,0,0,0,0,0,0,0,0,0
"#proudoflouis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0,0
"royals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0
"#spockquestionssonglyrics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0
"#strengthinnumbers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,14,0,0,0,0,0,0,0
"#clifrunsboston",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0
"#recordstoreday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0,0,0,0,0,0,0,0
"wizards",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0
"norris cole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0
"#warriors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,34,0,0,44,0,0,0
"eric gordon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0
"#orphanblack",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0
"bulls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0
"mavs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,11,0,0,0,0,8
"rondo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,25,0,0,0,0,0
"#lillyfortarget",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11,0,0,0,0,0,0,0
"aston villa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0
"#sundayfunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0
"kevin love",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,21,0
"tim tebow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,0
"#acmawards50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,0,0,0,0,0,0,0
"jon snow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0
"deandre jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0
"blake griffin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,0,0,0
"matt barnes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0
"austin rivers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,21,0
"#secretsandlies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17
"#rsac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0
"#happy420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20,0,0,0,0,0,0
"#lhhatl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0
